Categoria_Principal,Linha_Trabalho,Sub_Categoria,Nome_Ponto,Tipo_Toque,Link_Youtube
Pontos de Entidades,Esquerda,N/A,Ogum - Orixa Regente,Tipos de Toque,Links
Pontos de Entidades,Esquerda,N/A,Pedimos licença a Zambi,Samba,https://www.youtube.com/watch?v=bA2X-co8W7o
Pontos de Entidades,Esquerda,N/A,Dono do dia,Congo,https://www.youtube.com/watch?v=iq5A4tGOZ6M
Pontos de Entidades,Esquerda,N/A,Abra a minha estrada,Congo,https://www.youtube.com/watch?v=1WFD0jkwDv4
Pontos de Entidades,Esquerda,N/A,General da Umbanda,Congo,https://www.youtube.com/watch?v=2NDSs058_cY
Pontos de Entidades,Esquerda,N/A,Ogum Xoroke,Congo,https://www.youtube.com/watch?v=gkwRb9SX6P0
Pontos de Entidades,Esquerda,N/A,Quando Ogum partiu pra Guerra,Congo,https://www.youtube.com/watch?v=xsNB5bxl6rw
Pontos de Entidades,Esquerda,N/A,Armas do Ouro de Oxum,Congo,https://www.youtube.com/watch?v=tr6Fs5loibM
Pontos de Entidades,Esquerda,N/A,Ogum me disse que dançar nago é bom,Congo,https://www.youtube.com/watch?v=qxqwuuIUw9c
Pontos de Entidades,Esquerda,N/A,A Umbanda Clareoou,Samba,https://www.youtube.com/watch?v=FRwk8vpRH9g
Pontos de Entidades,Esquerda,N/A,Estava na beira da praia,Samba,https://www.youtube.com/watch?v=mACNo-Da3qA
Pontos de Entidades,Esquerda,N/A,Filho de Ogum,Samba,https://www.youtube.com/watch?v=DH19RjHGuiY
Pontos de Entidades,Esquerda,N/A,Subida de Ogum,Ijexá,https://www.youtube.com/watch?v=RM8-M_vOZRA
Pontos de Entidades,Esquerda,N/A,Oxum - Orixa Regente,Tipos de Toque,Links
Pontos de Entidades,Esquerda,N/A,Um Balaio de Amor,Ijexá/ Congo,https://www.youtube.com/watch?v=XOLwoqFVpU0
Pontos de Entidades,Esquerda,N/A,Canta Oxum,Samba/ Ijexá,https://www.youtube.com/watch?v=7X4V3fg4-Ns
Pontos de Entidades,Esquerda,N/A,Aguas de Oxum,Ijexá,https://www.youtube.com/watch?v=W7S8x02nvXM
Pontos de Entidades,Esquerda,N/A,Mamãe Oxum estava sentada na pedreira,Ijexá,https://www.youtube.com/watch?v=sYRX_aNBte0
Pontos de Entidades,Esquerda,N/A,Eu vi Mamãe Oxum na caxoeira,Ijexá,https://www.youtube.com/watch?v=1VtgdeaAVNk
Pontos de Entidades,Esquerda,N/A,Mamãe Oxum salve a sua cachoeira,Ijexá,https://www.youtube.com/watch?v=7f1L4N1ez0Q
Pontos de Entidades,Esquerda,N/A,Foi na beira do rio,Ijexá,https://www.youtube.com/watch?v=JN8KgP4bsXU
Pontos de Entidades,Esquerda,N/A,Oxúm Emoriô,Ijexá/ Samba,https://www.youtube.com/watch?v=yy1nY9fAm7g
Pontos de Entidades,Esquerda,N/A,A cachoeira da Mamãe Oxum,Ijexá,https://www.youtube.com/watch?v=no7bjvYSmAI
Pontos de Entidades,Esquerda,N/A,Esquerda,Tipos de Toque,Links
Pontos de Entidades,Esquerda,N/A,"Ela é Feiticeira, Ela é poderosa ela tem Axé",Samba,https://www.youtube.com/watch?v=5KgpyT5ccy8
Pontos de Entidades,Esquerda,N/A,Pombogira não pode faltar,Congo,https://www.youtube.com/watch?v=41e-Bbr6QbE
Pontos de Entidades,Esquerda,N/A,Que Linda Risada,Samba,https://www.youtube.com/watch?v=YGSMGe7VR88&t=102s
Pontos de Entidades,Esquerda,N/A,Sacode o pó,Samba,https://www.youtube.com/watch?v=WUXP2KZ4pSw
Pontos de Entidades,Esquerda,N/A,Morada de Rosa Caveira,Barra Vento,https://www.youtube.com/watch?v=UmV1mYSLE4w
Pontos de Entidades,Esquerda,N/A,Fui na Calunga não pude entrar,Barra Vento,https://www.youtube.com/watch?v=noV0BdlNE7k&list=RDnoV0BdlNE7k&start_radio=1
Pontos de Entidades,Esquerda,N/A,Nasceu uma Rosa,Barra Vento,https://www.youtube.com/watch?v=HwZjhOxbvyc
Pontos de Entidades,Esquerda,N/A,Do luxo ao lixo,Barra Vento,https://www.youtube.com/watch?si=Ultm9b0Rl1ox_XST&v=QZmn8J23QEA&feature=youtu.be
Pontos de Entidades,Esquerda,N/A,"Madrugada ê, madrugada â",Barra Vento,https://www.youtube.com/watch?v=RKgvZ_85SEM
Pontos de Entidades,Esquerda,N/A,"Maria Mulambo, esse agrado é pra você",Congo,https://www.youtube.com/watch?v=Btx6oT1fx4I
Pontos de Entidades,Esquerda,N/A,Que Mulher é aquela?,Congo,https://www.tiktok.com/@madu.d_umbanda/video/7227249761542343941?_r=1&_t=8d6iPixU3lN
Pontos de Entidades,Esquerda,N/A,Mas que caminho tão escuro,Congo,https://www.tiktok.com/@pontodeexu/video/7295768096814402822?q=mas%20que%20caminho%20tao%20escuro%20mulambo&t=1702313810510
Pontos de Entidades,Esquerda,N/A,Cova 66,Barra Vento,https://www.youtube.com/watch?v=A1ZOgSA7lMA
Pontos de Entidades,Esquerda,N/A,Foi condenada pela lei da inquisição,Samba,https://www.youtube.com/watch?v=PDCkd4QSYuM
Pontos de Entidades,Esquerda,N/A,A Catatumba,Samba,https://www.youtube.com/watch?v=x8ulskjl1Ck
Pontos de Entidades,Esquerda,N/A,7 Saias ta chegando,Samba,https://www.youtube.com/watch?v=kqYsVYrGn0U
Pontos de Entidades,Esquerda,N/A,Caixão de Veludo,Samba,https://www.youtube.com/watch?v=vRizPsj0_ec
Pontos de Entidades,Esquerda,N/A,No terreiro chegou,Barra Vento,https://www.youtube.com/watch?v=-b46D4bbi-c
Pontos de Entidades,Esquerda,N/A,Tremeu Tremeu,Congo,https://www.youtube.com/watch?v=LByDfIiTCeI
Pontos de Entidades,Esquerda,N/A,Sentinela do Amor,Barra Vento,https://www.youtube.com/watch?v=T68I9wwxcSM
Pontos de Entidades,Esquerda,N/A,Ela é Mojubá,Samba,https://www.youtube.com/watch?v=v_6pz8PjTVg
Pontos de Entidades,Esquerda,N/A,Seu caldeirão tem feitiçaria,Congo,
Pontos de Entidades,Esquerda,N/A,Bem que eu lhe avisei pra você não jogar comigo,Samba,https://www.youtube.com/watch?v=BEFN05MAJkk
Pontos de Entidades,Esquerda,N/A,Pombogira Cigana de Fé,Samba,https://www.youtube.com/watch?v=qpP6JPUbPBM
Pontos de Entidades,Esquerda,N/A,Joguei no Rei e parei no As,Samba,https://www.youtube.com/shorts/jFWavI51F4o
Pontos de Entidades,Esquerda,N/A,Olha que menina Linda,Ijexá,https://www.youtube.com/watch?v=7KQJnE7aee0
Pontos de Entidades,Esquerda,N/A,Ela pisa devagar,Samba,https://www.youtube.com/watch?v=MdAdJTT7BbE
Pontos de Entidades,Esquerda,N/A,"Chorei, Chorei",Samba,https://www.youtube.com/watch?v=0gU5AMgFNnA
